HTML,JAVA
use://sagan-site/bin/main/templates/learn/index.html//html/body/div/div/div/section/section/data-th-if//${newestPost},use://sagan-site/src/main/java/sagan/site/learn/LearnController.java//.addAttribute//newestPost
use://sagan-site/bin/main/templates/learn/index.html//html/body/div/div/div/section/section/div/data-th-each//${posts},use://sagan-site/src/main/java/sagan/site/learn/LearnController.java//.addAttribute//posts
use://sagan-site/bin/main/templates/projects/show.html//html/body/div/div/div/div/ul/li/data-th-each//${projects},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//projects
use://sagan-site/bin/main/templates/projects/show.html//html/body/div/div/div/article/div/div/div/div/a/data-th-href//${projectStackOverflow},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//projectStackOverflow
use://sagan-site/bin/main/templates/projects/show.html//html/body/div/div/div/article/div/div/div/div/div/table/tbody/tr/data-th-each//${otherReleases},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//otherReleases
use://sagan-site/bin/main/templates/projects/show.html//html/body/div/div/div/article/div/div/div/div/div/ul/li/data-th-each//${guides},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//guides
use://sagan-site/bin/main/templates/projects/show.html//html/body/div/div/div/article/div/div/div/div/div/ul/li/data-th-each//${topicals},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//topicals
use://sagan-site/bin/main/templates/projects/show.html//html/body/div/div/div/article/div/div/div/div/div/ul/li/data-th-each//${tutorials},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//tutorials
use://sagan-site/bin/main/templates/projects/index.html//html/body/div/div/div/section/data-th-each//${featured},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//featured
use://sagan-site/bin/main/templates/projects/index.html//html/body/div/div/div/section/ul/li/data-th-each//${groups},use://sagan-site/src/main/java/sagan/site/projects/ProjectsController.java//.addAttribute//groups
use://sagan-site/bin/main/templates/blog/show.html//html/body/div/data-th-object//${post},use://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java//.addAttribute//post
use://sagan-site/bin/main/templates/blog/show.html//html/body/div/data-th-object//${post},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//post
use://sagan-site/bin/main/templates/blog/show.html//html/body/div/main/div/div/ul/li/data-th-each//${categories},use://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java//.addAttribute//categories
use://sagan-site/bin/main/templates/blog/index.html//html/body/div/main/div/div/ul/li/data-th-each//${categories},use://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java//.addAttribute//categories
use://sagan-site/bin/main/templates/blog/index.html//html/body/div/main/div/div/data-th-if//${newestPost},use://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java//.addAttribute//newestPost
use://sagan-site/bin/main/templates/blog/index.html//html/body/div/main/div/div/div/div/article/data-th-each//${posts},use://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java//.addAttribute//posts
use://sagan-site/bin/main/templates/team/show.html//html/body/div/div/data-th-object//${profile},use://sagan-site/src/main/java/sagan/site/team/support/TeamController.java//.addAttribute//profile
use://sagan-site/bin/main/templates/team/show.html//html/body/div/div/div/div/div/div/div/div/article/data-th-each//${posts},use://sagan-site/src/main/java/sagan/site/team/support/TeamController.java//.addAttribute//posts
use://sagan-site/bin/main/templates/team/show.html//html/body/div/div/div/div/div/aside/div/data-th-object//${profile},use://sagan-site/src/main/java/sagan/site/team/support/TeamController.java//.addAttribute//profile
use://sagan-site/bin/main/templates/team/index.html//html/body/div/div/div/section/data-th-each//${profiles},use://sagan-site/src/main/java/sagan/site/team/support/TeamController.java//.addAttribute//profiles
use://sagan-site/bin/main/templates/guides/index.html//html/body/div/div/div/section/div/data-th-each//${guides},use://sagan-site/src/main/java/sagan/site/guides/GuideIndexController.java//.addAttribute//guides
use://sagan-site/bin/main/templates/guides/index.html//html/body/div/div/section/div/section/div/data-th-each//${topicals},use://sagan-site/src/main/java/sagan/site/guides/GuideIndexController.java//.addAttribute//topicals
use://sagan-site/bin/main/templates/guides/index.html//html/body/div/div/section/div/section/div/data-th-each//${tutorials},use://sagan-site/src/main/java/sagan/site/guides/GuideIndexController.java//.addAttribute//tutorials
use://sagan-site/bin/main/templates/events/community.html//html/body/div/div/div/div/a/data-th-each//${events},use://sagan-site/src/main/java/sagan/site/events/EventsController.java//.addAttribute//events
use://sagan-site/bin/main/templates/events/list.html//html/body/div/div/div/div/div/a/data-th-each//${events},use://sagan-site/src/main/java/sagan/site/events/EventsController.java//.addAttribute//events
use://sagan-site/bin/main/templates/admin/tools/index.html//html/body/div/table/tbody/tr/data-th-each//${platforms},use://sagan-site/src/main/java/sagan/site/tools/support/SpringToolsAdminController.java//.addAttribute//platforms
use://sagan-site/bin/main/templates/admin/tools/edit.html//html/body/form/data-th-object//${platform},use://sagan-site/src/main/java/sagan/site/tools/support/SpringToolsAdminController.java//.addAttribute//platform
use://sagan-site/bin/main/templates/admin/blog/index.html//html/body/div/div/table/tbody/tr/data-th-each//${drafts},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//drafts
use://sagan-site/bin/main/templates/admin/blog/index.html//html/body/div/div/table/tbody/tr/data-th-each//${scheduled},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//scheduled
use://sagan-site/bin/main/templates/admin/blog/index.html//html/body/div/div/table/tbody/tr/data-th-each//${posts},use://sagan-site/src/main/java/sagan/site/blog/support/BlogController.java//.addAttribute//posts
use://sagan-site/bin/main/templates/admin/blog/index.html//html/body/div/div/table/tbody/tr/data-th-each//${posts},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//posts
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/data-th-object//${postForm},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//postForm
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/div/div/div/a/data-th-href//${path},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//path
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/div/div/div/a/data-th-href//${path},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//path
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/div/div/div/div/div/select/option/data-th-each//${categories},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//categories
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/div/div/div/div/div/select/option/data-th-each//${categories},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//categories
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/div/div/div/div/div/select/option/data-th-each//${formats},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//formats
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/div/div/div/div/div/select/option/data-th-each//${formats},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//formats
use://sagan-site/bin/main/templates/admin/blog/edit.html//html/body/form/div/div/div/label/data-th-text//${timezone},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//timezone
use://sagan-site/bin/main/templates/admin/blog/new.html//html/body/form/data-th-object//${postForm},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//postForm
use://sagan-site/bin/main/templates/admin/blog/new.html//html/body/form/div/div/div/div/div/select/option/data-th-each//${categories},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//categories
use://sagan-site/bin/main/templates/admin/blog/new.html//html/body/form/div/div/div/div/div/select/option/data-th-each//${formats},use://sagan-site/src/main/java/sagan/site/blog/support/BlogAdminController.java//.addAttribute//formats
use://sagan-site/bin/main/templates/admin/project/edit-support.html//html/body/div/form/data-th-object//${project},use://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java//.addAttribute//project
use://sagan-site/bin/main/templates/admin/project/index.html//html/body/div/div/table/tbody/tr/data-th-each//${projects},use://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java//.addAttribute//projects
use://sagan-site/bin/main/templates/admin/project/edit-info.html//html/body/form/data-th-object//${project},use://sagan-site/src/main/java/sagan/site/projects/admin/ProjectAdminController.java//.addAttribute//project
